postal,latitude,longitude
758825,1.458786994,103.8314318
424536,1.313458386,103.8984818
786454,1.404383706,103.8222254
560125,1.371496873,103.8447668
150125,1.285933667,103.8029997
427854,1.31385098,103.9029203
427272,1.314982214,103.9028674
786092,1.406645742,103.8240267
208513,1.309478019,103.8573806
637984,1.33996516,103.6911155
469400,1.324154816,103.9525656
439643,1.30293944,103.8860831
218931,1.313997642,103.8525663
098265,1.239207832,103.8320083
427858,1.313723896,103.9039531
424915,1.308161047,103.9004078
297916,1.329912577,103.8194881
429871,1.310442893,103.9002965
269395,1.322663367,103.798494
789850,1.38847486,103.840809
257868,1.31925124,103.8247841
468843,1.321103961,103.9527061
418710,1.329365477,103.9076679
537303,1.360080608,103.8897314
598293,1.336182416,103.7793908
298696,1.337975158,103.8198597
426179,1.316081716,103.9066071
438108,1.30476328,103.8882227
546247,1.361719738,103.8770842
424230,1.306043806,103.9064907
597246,1.329682696,103.7682149
439479,1.299635241,103.8912414
249791,1.300506612,103.8215152
589109,1.337993635,103.7853746
298988,1.324154438,103.8187939
465555,1.319501674,103.9528563
598294,1.336249694,103.7790237
298317,1.32538979,103.8221117
257829,1.313750406,103.8319609
436759,1.303277106,103.8951762
459187,1.309029978,103.9230219
249768,1.300687767,103.8210779
439484,1.300685163,103.8909549
457150,1.314678485,103.9283651
288297,1.336427175,103.8192161
289973,1.336301965,103.8132314
460013,1.320405123,103.9367412
309628,1.323078517,103.8392708
429523,1.306100437,103.9079856
554782,1.360693281,103.8670202
259622,1.319193333,103.8135638
419448,1.324784162,103.9176887
468665,1.323139888,103.9523974
769379,1.438944637,103.8271629
537304,1.360535801,103.8895764
466375,1.319366411,103.9512168
628878,1.333935371,103.6915414
426586,1.316263405,103.9022669
417059,1.319496204,103.9092889
467567,1.315737947,103.9399731
370013,1.327781271,103.8837441
190013,1.304052288,103.8630279
798416,1.407742695,103.8699213
467288,1.316740155,103.9424881
328321,1.324938057,103.8493784
786416,1.404616181,103.821517
423541,1.314081061,103.9007648
058411,1.288589849,103.8480585
266534,1.319031211,103.8038267
117844,1.277714597,103.7897104
162013,1.286544226,103.8382645
428815,1.30597313,103.9053132
588632,1.348463876,103.7868102
427861,1.313727219,103.9040207
118548,1.27616918,103.7930352
596436,1.345117266,103.7704685
429873,1.310434552,103.8998621
428657,1.310314895,103.9038684
488782,1.334395061,103.943757
189639,1.300913482,103.8517794
554585,1.362029732,103.8660762
786095,1.406552238,103.8241591
269523,1.32299862,103.8028798
269526,1.32299862,103.8028798
428658,1.310123026,103.9040639
208850,1.306650507,103.8563519
268167,1.317283372,103.8047683
425960,1.314338912,103.9139548
436974,1.311559923,103.8939194
228186,1.303435016,103.8460924
429879,1.310370762,103.9003542
239888,1.299800951,103.8361241
425770,1.314046771,103.9146707
458241,1.312734969,103.9202293
098088,1.23952473,103.8317128
428659,1.310092866,103.9040088
268168,1.317225556,103.8046874
436975,1.311463672,103.8939158
287601,1.332312036,103.8106191
229837,1.310373036,103.8436144
789856,1.388263378,103.8409326
368363,1.33807302,103.8828157
460136,1.327834739,103.9352116
229838,1.311080469,103.8436811
368360,1.337711363,103.8840977
088865,1.278391682,103.8408752
786460,1.404705671,103.8222709
436976,1.311377488,103.8939177
425965,1.314429217,103.9141636
554588,1.362016807,103.865912
068602,1.280801417,103.8480169
109683,1.282658781,103.808609
418503,1.328934372,103.9163995
368361,1.337775693,103.8846465
068603,1.281615324,103.8479022
637990,1.339724214,103.690809
368362,1.338459063,103.8840724
357872,1.335122718,103.8698713
574115,1.356577591,103.833142
469917,1.32200004,103.9531678
469832,1.322904858,103.9524737
629953,1.310744936,103.6804101
629887,1.302349063,103.6787786
436591,1.302592849,103.8955801
559158,1.362239259,103.8691752
439485,1.300840941,103.8909603
249891,1.296391291,103.8235044
554750,1.361629671,103.8673718
269418,1.322942158,103.8095885
789730,1.388381193,103.8400488
359435,1.344094414,103.8670936
259168,1.312830153,103.8241222
629763,1.327372844,103.686643
549403,1.359830937,103.8815067
489376,1.340359365,103.9545352
757274,1.46076424,103.8387604
428432,1.306944498,103.9078031
428384,1.311226653,103.9120968
468708,1.313088007,103.935597
468666,1.323595156,103.9522073
159356,1.284714482,103.8078967
128799,1.317035483,103.760288
368814,1.332949618,103.8836425
288799,1.333329273,103.8013775
418148,1.320780487,103.9147991
547981,1.358464221,103.8764329
258599,1.319737104,103.8221516
718879,1.447074471,103.7172652
267779,1.32241091,103.7927926
467816,1.322592092,103.951626
536987,1.338481007,103.8847453
426480,1.315818274,103.9032645
119140,1.280457811,103.7876774
149162,1.290669058,103.8057658
370014,1.327828974,103.8831144
487745,1.333778816,103.9450407
546938,1.363897535,103.8763521
787004,1.402735033,103.8190783
786967,1.403817145,103.8195317
257953,1.315275485,103.8251735
806475,1.38976989,103.8550817
597501,1.328995223,103.7680718
596981,1.338310862,103.766464
455341,1.317142244,103.92585
639229,1.327629235,103.6487405
638680,1.32306284,103.6591214
436671,1.303313779,103.8950163
638145,1.339316135,103.6911544
088869,1.278360189,103.8407906
287625,1.331956155,103.8097904
545589,1.359450136,103.8741819
208859,1.306914106,103.8560862
575264,1.350665557,103.8348469
545592,1.359972245,103.8734693
545593,1.360047652,103.8734152
629602,1.319348785,103.6698311
466315,1.321687677,103.948913
425972,1.314491365,103.9146801
228721,1.30698368,103.846811
287630,1.332019649,103.8094383
730144,1.43607963,103.7726086
730145,1.43607963,103.7726086
519845,1.37049581,103.9435068
088875,1.27828754,103.8406485
350146,1.331800783,103.8672428
068909,1.278169861,103.8480961
438770,1.307623686,103.8990303
730147,1.436084559,103.7747221
429709,1.310859987,103.8992805
310148,1.334684427,103.8436085
350148,1.33235436,103.8677743
427291,1.314495632,103.9037953
629605,1.321067171,103.6721185
098380,1.252919962,103.8458226
